pid;#1;#2;#conflict;mortgageChoice;mortgagePrompt
70;0;1;1;1;{'Q0': 'I would probably think about it mathematically.  Whichever mortgage demands the most money is the one i would not chose', 'Q1': 'The mortgage that costs me the least amount of money is the one I chose.  I Always pay my bills on time so interest shouldnt be a problem'}
127;0;1;1;0;{'Q0': 'I would have to see which one is going to make me pay more over time, and what I think I can afford over time.', 'Q1': 'Whatever one that is going to allow me to pay off my loan the fastest and the most affordable way. I rather not pay more for something over time.'}
140;0;1;1;0;{'Q0': 'I would compare the amount of the first month rates with the 19 year rates as those would most likely represent the financial burden the best', 'Q1': 'the one that has the best balance of money given and reasonable interest rate'}
93;0;1;1;1;{'Q0': 'I would pick based on how long I plan to live in that house.', 'Q1': 'I decided by thinking if I can see myself living in a house for 19 years.'}
214;0;1;1;0;{'Q0': 'I would choose the loan with the least amount of interest. ', 'Q1': 'I would look at what each amount is and how I would be able to break it down to where I get the most use from it but at the same time keep my monthly payments as low as possible and which can I pay off the quickest. '}
145;0;1;1;1;"{'Q0': 'I would choose the loan that saves me the most money.', 'Q1': ""I didn't, I haven't been provided enough information on the three loans.""}"
170;0;1;1;1;{'Q0': 'Which one I can payback and have the least additional amount of interest added to the sum I payback.', 'Q1': 'The least amount of interest included with the original loan '}
16;0;1;1;0;{'Q0': 'work out the value added by interest for each term', 'Q1': 'By working out the difference and working the opportunity cost'}
188;0;1;1;0;{'Q0': 'Depending on the rate that best suits my needs', 'Q1': 'The one that would save me the most money'}
158;1;0;1;0;{'Q0': 'which loans have the lowest rates in the first month, remainder of first year and the next 19 years.', 'Q1': 'I picked the lowest rate overall'}
22;0;1;1;1;"{'Q0': ""i'll choose the first month rate highest and 19 years lowest"", 'Q1': ""It's easy to pay the first month with the highest rate and make it easy for me to pay the rest""}"
150;1;1;0;1;{'Q0': 'I would look at the amount of interest each loan has. ', 'Q1': 'I would use a mortgage calculator to make sure I get the best option. '}
160;1;0;1;1;{'Q0': 'I would picked the one with the lowest rates and fees. The one that would make it worth while in the long run.', 'Q1': 'The rates and fees, always need to do the lowest cost.'}
58;0;1;1;1;"{'Q0': ""I would factor a number of things, it's interest rates - what the final payment will look like. Comparing the three loans to find out which is the most effective for me."", 'Q1': 'I choose the lowest interest loan'}"
75;0;1;1;0;{'Q0': 'I would compare themby weighing their pros & cons', 'Q1': 'The cheapest one'}
146;0;1;1;0;{'Q0': 'I would consider the total interest over the next 2 -3 years of the mortgage', 'Q1': 'I will decide on the mortgage that has the lowest total cost over 3 years - my experience is it is best to reconsider mortgage deals and potentially switch to a better one very few years'}
87;0;1;1;1;{'Q0': 'I would choose the lowest rate', 'Q1': 'which ever costs me the least in interest'}
52;0;0;0;0;{'Q0': 'decide which one is the cheapest', 'Q1': 'cost analysis'}
112;-1;0;0;-1;
51;1;1;0;1;{'Q0': 'Probably choose the one with the lowest rates over the course of the loan', 'Q1': 'The one which has me paying less overall'}
86;0;0;0;0;{'Q0': 'I would like the lowest interest rate', 'Q1': 'If my rate is low my mortgage irate will be low too'}
155;1;1;0;1;{'Q0': 'I would choose the one with the best interest rate for 19 years.', 'Q1': 'You will be paying the 19 year one the longest so it is the most important rate. '}
69;0;0;0;0;{'Q0': 'the 1 year one', 'Q1': 'I  decided by choosing the one I  have the most potential for growth in'}
64;0;0;0;0;"{'Q0': 'I would do research on the different mortgage loans and see which one will benefit me the most. ', 'Q1': ""After doing research on them, it'll be a deciding factor on which one is the best choice. You always can find more information when it comes to it. ""}"
139;1;1;0;1;{'Q0': 'I would choose the option that resulted in the least interest over the lifetime of the loan. ', 'Q1': 'If the 19 year interest rate is lower over all than the rate in the first month, I would choose that one. '}
98;0;0;0;0;{'Q0': 'I would probably choose the mortgage loan with a decreasing or fixed interest rate moving forward.', 'Q1': 'By choosing the most suitable'}
82;1;1;0;1;{'Q0': 'I would look at the different rates, and compute out what those would be. I would look at the costs associated with the different rates and see if any of them ended up costing more in the long run vs what the initial costs were. I would chose one that makes the most sense for me and my family.', 'Q1': 'After computing the amounts, I picked the one that had the lowest costs over time, even if that meant a higher cost initially. I was more concerned with the overall costs than the monthly costs.'}
14;1;1;0;1;{'Q0': 'I would look at them carefully and consider the possibility of paying the mortgage back early. (Paying back as soon as possible and being debt free is my goal with regards to a mortgage anyway.) I would calculate the rates of interest and overall cost for the next 19 years and choose which one is the cheapest and has the least fees/penalties for early repayment.', 'Q1': 'By examining them carefully and considering the overall cost, including early repayments.'}
109;-1;0;0;-1;
216;1;1;0;1;{'Q0': 'I would choose the rate for the 19 years because I like to know payments.', 'Q1': 'I would decide which one would cost me the least in interest over time.'}
81;1;1;0;1;{'Q0': 'I would look at how widely and often the interest rates vary', 'Q1': 'I would work out the math of which mortgage interest rates would cost the least over the long term, but also keep payments affordable'}
33;0;0;0;0;{'Q0': 'growth life', 'Q1': 'future care'}
230;-1;0;0;-1;
26;0;0;0;0;{'Q0': 'good nothing else', 'Q1': 'good nothing else'}
23;0;0;0;0;{'Q0': 'I would choose the one with the best interest rate', 'Q1': 'I would choose the mortgage that fits within my budget.'}
79;0;0;0;0;{'Q0': 'The one with interest for the first month ', 'Q1': 'If I go ahead and pay the interest, I will have the ability to save more down the road.'}
7;0;0;0;0;{'Q0': 'Would go with the lowest interest rate', 'Q1': 'The one with the lowest interest rate'}
6;0;0;0;0;"{'Q0': ""I would choose these loans based on how much I'm receiving and what the interest rate is."", 'Q1': 'I decide which one is best with knowledge of how interest rates work. I want the most money with the lowest rate.'}"
198;1;1;0;1;{'Q0': 'The best rate over the 19 years', 'Q1': 'The best rate over the 19 years'}
66;0;0;0;0;"{'Q0': 'I would have to take into consideration my current financial circumstance as well as whether or not more money was expected at any future point. I would want to choose the option which best suited my ""live for today"" mindset as well as that which had the least likelihood of leaving me financially vulnerable, either now or later.', 'Q1': 'I took careful thoughts and reasonable/rational insights into my personal circumstances and which best suited my immediate, as well as future, needs as I currently see them.'}"
97;1;1;0;1;{'Q0': 'I would take the one with the lowest overall interest rate.', 'Q1': 'The best one would be the one that best fits my budget.'}
132;1;1;0;1;"{'Q0': 'I would use a statistical/mathematical approach to develop a model to predict which loan would end up accruing the least interest over the next 19 years.', 'Q1': ""I believe that whichever mortgage has the lowest interest rates for 19 years will end up being the most affordable overall; the first year could have higher rates, but it's a smaller proportion of the loan period and therefore don't carry as much weight.""}"
18;0;0;0;0;{'Q0': 'I would pick the one that was best for my situation at the time', 'Q1': 'by comparing all my options '}
187;0;0;0;0;{'Q0': 'Pick the on with either the lowest rates or the highest rate depending on a few things.', 'Q1': 'I do not know I just choose which one sounds good. '}
153;0;0;0;0;{'Q0': 'Looking at the monthly payments. If one is lower than the others, I would choose that one.', 'Q1': 'monthly cost.'}
144;0;0;0;0;{'Q0': 'I would take the lowest cost', 'Q1': 'which will cost the least'}
151;-1;0;0;-1;
202;1;1;0;1;{'Q0': 'I would spend the time to calculate how much interest I was paying long term between the three mortgages, and choose the one with lower interest paid over time.', 'Q1': 'whichever one I pay lowest amount of interest on over time'}
215;-1;0;0;-1;
222;-1;0;0;-1;
78;1;1;0;1;"{'Q0': ""I would look at the overall cost to see which one would be the best for my budget and for my circumstances.  I'd also consider short-term costs of moving and might consider something that was lower in the initial period of the term."", 'Q1': 'I thought about the last time I moved and the additional costs that I faced during the process, and considered long-term goals and benefits.'}"
218;0;0;0;0;{'Q0': 'I used in arrow key ', 'Q1': 'Very quickly action'}
12;1;1;0;1;{'Q0': 'I would likely consider which loan has the best (lowest) interest rate over the remaining 19 year period of the term.', 'Q1': 'Because a mortgage is a long-term product, I would decide based on what would be my lowest borrowing cost for the longest period.'}
204;0;0;0;0;{'Q0': 'According to the easiest direction and less negativevalues', 'Q1': 'By checking high profit values'}
141;0;1;0;0;{'Q0': 'I would chose the mortgage with the a lowest interest rate and the ability to pay it off sooner than 19 years.', 'Q1': 'I decided for the mortgage that would make me free from the loan from the bank.'}
209;-1;0;0;-1;
116;-1;0;0;-1;
38;1;1;0;1;{'Q0': 'I would choose the mortgage loan that has the best rate over the longest period of time.', 'Q1': 'The mortgage with the best rate over a 19 year period, assuming the mortgage will be held for that long, will be the one that will save the most money in the long term.'}
103;-1;0;0;-1;
157;1;1;0;1;{'Q0': 'I would look at the overall sum of the interest across all 20 years of the mortgage loan.', 'Q1': 'The mortgage loan that has the lowest interest sum for the duration of the loan in its entirety.'}
129;1;1;0;1;"{'Q0': 'I would choose the one that resulted in the least amount of total interest paid over 20 years.', 'Q1': ""The one that had the lowest rate at the end of the 20 years as long as the rate doesn't increase drastically in the meantime.""}"
111;-1;0;0;-1;
19;1;1;0;1;{'Q0': 'I would see which one is more cost effective and would be cheaper overall for me.', 'Q1': 'By working out my total repayment and seeing which would cost me the least.'}
176;1;1;0;1;{'Q0': 'The one that costs me the least amount of money over time. I would choose the 19 year cheapest rate', 'Q1': 'It would cost the least amount total'}
71;0;0;0;0;{'Q0': 'Choose the lowest average.', 'Q1': 'Using logic.'}
88;1;1;0;1;{'Q0': 'I would analyze all three options and choose the one with the best average rate for the next 19 years. ', 'Q1': 'I would take my long term financial well being into consideration and choose the best rate for a longer period of time. '}
115;-1;0;0;-1;
102;-1;0;0;-1;
131;0;0;0;0;{'Q0': 'I would choose the first month.', 'Q1': 'The longer the interest rate is variable the more money you may pay in the end. '}
